(0, 7, 14, 13, 40, 22, 23, AP2); 23,00
(1, 0, 7, 14, 13, 40, 22, 23, AP2); 25,00
(2, 0, 7, 14, 13, 40, 22, 23, AP2); 26,00
(3, 1, 0, 7, 14, 13, 40, 22, 23, AP2); 28,00
(5, 6, 8, 9, 14, 13, 40, 22, 23, AP2); 27,00
(6, 8, 9, 14, 13, 40, 22, 23, AP2); 25,00
(7, 14, 13, 40, 22, 23, AP2); 20,00
(8, 9, 14, 13, 40, 22, 23, AP2); 20,00
(9, 14, 13, 40, 22, 23, AP2); 18,00
(11, 12, 37, 38, 40, 22, 23, AP2); 13,00
(12, 37, 38, 40, 22, 23, AP2); 12,00
(13, 40, 22, 23, AP2); 11,00
(14, 13, 40, 22, 23, AP2); 15,00
(15, 14, 13, 40, 22, 23, AP2); 18,00
(17, 40, 22, 23, AP2); 12,00
(18, 19, 20, 22, 23, AP2); 11,00
(19, 20, 22, 23, AP2); 8,00
(20, 22, 23, AP2); 7,00
(21, 22, 23, AP2); 7,00
(22, 23, AP2); 3,00
(23, AP2); 1,00
(AP2); 0,00
(25, 23, AP2); 4,00
(26, 25, 23, AP2); 6,00
(27, 31, 28, 26, 25, 23, AP2); 9,00
(28, 26, 25, 23, AP2); 7,00
(30, 28, 26, 25, 23, AP2); 9,00
(31, 28, 26, 25, 23, AP2); 8,00
(32, 31, 28, 26, 25, 23, AP2); 12,00
(33, 39, 38, 40, 22, 23, AP2); 11,00
(34, 37, 38, 40, 22, 23, AP2); 12,00
(35, 30, 28, 26, 25, 23, AP2); 13,00
(36, 34, 37, 38, 40, 22, 23, AP2); 14,00
(37, 38, 40, 22, 23, AP2); 10,00
(38, 40, 22, 23, AP2); 7,00
(39, 38, 40, 22, 23, AP2); 8,00
(40, 22, 23, AP2); 6,00
