(0, 1, 3, 5, AP5); 10,00
(1, 3, 5, AP5); 8,00
(2, 3, 5, AP5); 10,00
(3, 5, AP5); 5,00
(AP5); 0,00
(5, AP5); 3,00
(6, 5, AP5); 5,00
(7, 0, 1, 3, 5, AP5); 13,00
(8, 6, 5, AP5); 10,00
(9, 8, 6, 5, AP5); 12,00
(11, 12, 13, 14, 9, 8, 6, 5, AP5); 21,00
(12, 13, 14, 9, 8, 6, 5, AP5); 20,00
(13, 14, 9, 8, 6, 5, AP5); 19,00
(14, 9, 8, 6, 5, AP5); 15,00
(15, 14, 9, 8, 6, 5, AP5); 18,00
(17, 40, 13, 14, 9, 8, 6, 5, AP5); 30,00
(18, 40, 13, 14, 9, 8, 6, 5, AP5); 33,00
(19, 20, 22, 40, 13, 14, 9, 8, 6, 5, AP5); 32,00
(20, 22, 40, 13, 14, 9, 8, 6, 5, AP5); 31,00
(21, 22, 40, 13, 14, 9, 8, 6, 5, AP5); 31,00
(22, 40, 13, 14, 9, 8, 6, 5, AP5); 27,00
(23, 22, 40, 13, 14, 9, 8, 6, 5, AP5); 29,00
(25, 22, 40, 13, 14, 9, 8, 6, 5, AP5); 30,00
(26, 28, 30, 35, 36, 11, 12, 13, 14, 9, 8, 6, 5, AP5); 31,00
(27, 33, 35, 36, 11, 12, 13, 14, 9, 8, 6, 5, AP5); 30,00
(28, 30, 35, 36, 11, 12, 13, 14, 9, 8, 6, 5, AP5); 30,00
(30, 35, 36, 11, 12, 13, 14, 9, 8, 6, 5, AP5); 28,00
(31, 30, 35, 36, 11, 12, 13, 14, 9, 8, 6, 5, AP5); 30,00
(32, 33, 35, 36, 11, 12, 13, 14, 9, 8, 6, 5, AP5); 28,00
(33, 35, 36, 11, 12, 13, 14, 9, 8, 6, 5, AP5); 27,00
(34, 37, 12, 13, 14, 9, 8, 6, 5, AP5); 24,00
(35, 36, 11, 12, 13, 14, 9, 8, 6, 5, AP5); 24,00
(36, 11, 12, 13, 14, 9, 8, 6, 5, AP5); 23,00
(37, 12, 13, 14, 9, 8, 6, 5, AP5); 22,00
(38, 37, 12, 13, 14, 9, 8, 6, 5, AP5); 25,00
(39, 38, 37, 12, 13, 14, 9, 8, 6, 5, AP5); 26,00
(40, 13, 14, 9, 8, 6, 5, AP5); 24,00
